BoardNumber	Depth	VDP	Board	Shift
6  0.62  52.17  A6  A
7  0.62  55.85  A7  A
8  0.62  59.03  A8  A
9  0.62  55.63  A9  A
1  0.622  60.07  A1  A
2  0.622  55.54  A2  A
3  0.622  60.5  A3  A
4  0.622  59.36  A4  A
5  0.622  59.24  A5  A
6  0.622  53.19  A6  A
7  0.622  56.53  A7  A
8  0.622  59.57  A8  A
9  0.622  56.04  A9  A
1  0.624  60.26  A1  A
2  0.624  56.71  A2  A
3  0.624  60.97  A3  A
4  0.624  59.17  A4  A
5  0.624  59.15  A5  A
6  0.624  53.75  A6  A
7  0.624  57.14  A7  A
8  0.624  60.03  A8  A
9  0.624  56.46  A9  A
1  0.626  60.35  A1  A
2  0.626  56.88  A2  A
3  0.626  61.53  A3  A
4  0.626  59.36  A4  A
5  0.626  59.61  A5  A
6  0.626  54.07  A6  A
7  0.626  57.31  A7  A
8  0.626  60.3  A8  A
9  0.626  56.88  A9  A
1  0  59.48  B1  B
2  0  58.51  B2  B
3  0  58.65  B3  B
4  0  59.5  B4  B
5  0  52  B5  B
6  0  57  B6  B
7  0  56.8  B7  B
8  0  57.97  B8  B
9  0  58.47  B9  B
10  0  53.19  B10  B
11  0  57.36  B11  B
1  0.002  59.3  B1  B
2  0.002  58.69  B2  B
3  0.002  58.22  B3  B
4  0.002  59.14  B4  B
5  0.002  51.62  B5  B
6  0.002  55.82  B6  B
7  0.002  56.04  B7  B
8  0.002  58.41  B8  B
9  0.002  57.68  B9  B
10  0.002  52.57  B10  B
11  0.002  56.76  B11  B
1  0.004  58.86  B1  B
2  0.004  58.25  B2  B
3  0.004  57.7  B3  B
4  0.004  58.78  B4  B
5  0.004  51.24  B5  B
6  0.004  55.57  B6  B
7  0.004  55.71  B7  B
8  0.004  57.71  B8  B
9  0.004  57.43  B9  B
10  0.004  52.26  B10  B
11  0.004  56.25  B11  B
1  0.006  58.07  B1  B
2  0.006  57.81  B2  B
3  0.006  57.36  B3  B
4  0.006  58.61  B4  B
5  0.006  50.86  B5  B
6  0.006  55.24  B6  B
7  0.006  55.3  B7  B
8  0.006  57.28  B8  B
9  0.006  57.08  B9  B
10  0.006  51.88  B10  B
11  0.006  54.93  B11  B
1  0.008  57.29  B1  B
2  0.008  57.81  B2  B
3  0.008  56.76  B3  B
4  0.008  57.74  B4  B
5  0.008  50.63  B5  B
6  0.008  54.75  B6  B
7  0.008  54.72  B7  B
8  0.008  57.03  B8  B
9  0.008  56.15  B9  B
10  0.008  51.35  B10  B
11  0.008  54.85  B11  B
1  0.01  57.38  B1  B
2  0.01  57.47  B2  B
3  0.01  56.43  B3  B
4  0.01  58.08  B4  B
5  0.01  50.04  B5  B
6  0.01  54.35  B6  B
7  0.01  53.92  B7  B
8  0.01  56.43  B8  B
9  0.01  55.4  B9  B
10  0.01  51.05  B10  B
11  0.01  54.12  B11  B
1  0.012  56.37  B1  B
2  0.012  56.96  B2  B
3  0.012  56.09  B3  B
4  0.012  57.57  B4  B
5  0.012  49.75  B5  B
6  0.012  54.03  B6  B
7  0.012  53.52  B7  B
8  0.012  56.35  B8  B
9  0.012  54.91  B9  B
10  0.012  50.83  B10  B
11  0.012  53.65  B11  B
1  0.014  55.87  B1  B
2  0.014  56.79  B2  B
3  0.014  55.6  B3  B
4  0.014  57.14  B4  B
5  0.014  49.23  B5  B
6  0.014  53.39  B6  B
7  0.014  53.37  B7  B
8  0.014  55.6  B8  B
9  0.014  54.67  B9  B
10  0.014  50.46  B10  B
11  0.014  53.72  B11  B
1  0.016  55.29  B1  B
2  0.016  56.53  B2  B
3  0.016  54.95  B3  B
4  0.016  56.71  B4  B
5  0.016  49.16  B5  B
6  0.016  53  B6  B
7  0.016  52.98  B7  B
8  0.016  55.35  B8  B
9  0.016  54.75  B9  B
10  0.016  49.8  B10  B
11  0.016  52.86  B11  B
1  0.018  55.54  B1  B
2  0.018  56.2  B2  B
3  0.018  54.55  B3  B
4  0.018  56.05  B4  B
5  0.018  48.73  B5  B
6  0.018  52.69  B6  B
7  0.018  52.36  B7  B
8  0.018  55.03  B8  B
9  0.018  54.43  B9  B
10  0.018  49.66  B10  B
11  0.018  52.17  B11  B
1  0.02  54.81  B1  B
2  0.02  55.7  B2  B
3  0.02  54.39  B3  B
4  0.02  55.71  B4  B
5  0.02  48.73  B5  B
6  0.02  52.61  B6  B
7  0.02  52.36  B7  B
8  0.02  54.38  B8  B
9  0.02  54.11  B9  B
10  0.02  49.37  B10  B
11  0.02  51.71  B11  B
1  0.022  54.41  B1  B
2  0.022  55.29  B2  B
3  0.022  54.39  B3  B
4  0.022  55.3  B4  B
5  0.022  48.44  B5  B
6  0.022  52.08  B6  B
7  0.022  51.82  B7  B
8  0.022  54.3  B8  B
9  0.022  53.47  B9  B
10  0.022  49.23  B10  B
11  0.022  51.78  B11  B
1  0.024  54.17  B1  B
2  0.024  55.21  B2  B
3  0.024  53.68  B3  B
4  0.024  55.22  B4  B
5  0.024  47.88  B5  B
6  0.024  51.02  B6  B
7  0.024  51.45  B7  B
8  0.024  53.43  B8  B
9  0.024  53.16  B9  B
10  0.024  48.59  B10  B
11  0.024  51.56  B11  B
1  0.026  53.77  B1  B
2  0.026  54.64  B2  B
3  0.026  53.36  B3  B
4  0.026  54.66  B4  B
5  0.026  48.09  B5  B
6  0.026  51.39  B6  B
7  0.026  51  B7  B
8  0.026  53.74  B8  B
9  0.026  52.92  B9  B
10  0.026  48.59  B10  B
11  0.026  51.33  B11  B
1  0.028  53.46  B1  B
2  0.028  54.32  B2  B
3  0.028  52.98  B3  B
4  0.028  54.5  B4  B
5  0.028  47.81  B5  B
6  0.028  51.1  B6  B
7  0.028  50.85  B7  B
8  0.028  53.19  B8  B
9  0.028  52.61  B9  B
10  0.028  48.73  B10  B
11  0.028  51.03  B11  B
1  0.03  52.99  B1  B
2  0.03  54.48  B2  B
3  0.03  52.9  B3  B
4  0.03  54.1  B4  B
5  0.03  47.74  B5  B
6  0.03  50.87  B6  B
7  0.03  50.55  B7  B
8  0.03  53.35  B8  B
9  0.03  51.7  B9  B
10  0.03  48.59  B10  B
11  0.03  50.66  B11  B
1  0.032  52.53  B1  B
2  0.032  54.24  B2  B
3  0.032  52.67  B3  B
4  0.032  53.86  B4  B
5  0.032  47.81  B5  B
6  0.032  50.65  B6  B
7  0.032  50.48  B7  B
8  0.032  52.8  B8  B
9  0.032  51.55  B9  B
10  0.032  48.31  B10  B
11  0.032  50.37  B11  B
1  0.034  52.38  B1  B
2  0.034  53.53  B2  B
3  0.034  52.29  B3  B
4  0.034  53.23  B4  B
5  0.034  47.53  B5  B
6  0.034  50.43  B6  B
7  0.034  50.4  B7  B
8  0.034  52.42  B8  B
9  0.034  51.17  B9  B
10  0.034  47.96  B10  B
11  0.034  50.15  B11  B
1  0.036  52.15  B1  B
2  0.036  53.37  B2  B
3  0.036  52.36  B3  B
4  0.036  53.31  B4  B
5  0.036  47.04  B5  B
6  0.036  50.21  B6  B
7  0.036  49.89  B7  B
8  0.036  52.19  B8  B
9  0.036  51.17  B9  B
10  0.036  48.03  B10  B
11  0.036  49.78  B11  B
1  0.038  52  B1  B
2  0.038  52.9  B2  B
3  0.038  51.91  B3  B
4  0.038  53.15  B4  B
5  0.038  47.11  B5  B
6  0.038  49.92  B6  B
7  0.038  50.04  B7  B
8  0.038  51.51  B8  B
9  0.038  50.65  B9  B
10  0.038  48.1  B10  B
11  0.038  49.56  B11  B
1  0.04  51.17  B1  B
2  0.04  52.67  B2  B
3  0.04  51.68  B3  B
4  0.04  52.85  B4  B
5  0.04  46.49  B5  B
6  0.04  49.92  B6  B
7  0.04  49.53  B7  B
8  0.04  51.35  B8  B
9  0.04  50.72  B9  B
10  0.04  47.75  B10  B
11  0.04  49.28  B11  B
1  0.042  51.4  B1  B
2  0.042  52.36  B2  B
3  0.042  51.61  B3  B
4  0.042  52.38  B4  B
5  0.042  46.77  B5  B
6  0.042  49.49  B6  B
7  0.042  49.46  B7  B
8  0.042  51.58  B8  B
9  0.042  50.5  B9  B
10  0.042  47.82  B10  B
11  0.042  49.06  B11  B
1  0.044  50.73  B1  B
2  0.044  52.44  B2  B
3  0.044  51.91  B3  B
4  0.044  52.08  B4  B
5  0.044  46.43  B5  B
6  0.044  49.49  B6  B
7  0.044  49.32  B7  B
8  0.044  51.51  B8  B
9  0.044  50.06  B9  B
10  0.044  47.75  B10  B
11  0.044  49.13  B11  B
1  0.046  50.58  B1  B
2  0.046  52.29  B2  B
3  0.046  51.09  B3  B
4  0.046  51.78  B4  B
5  0.046  46.02  B5  B
6  0.046  49.2  B6  B
7  0.046  48.89  B7  B
8  0.046  51.43  B8  B
9  0.046  49.92  B9  B
10  0.046  47.41  B10  B
11  0.046  48.56  B11  B
1  0.048  50.58  B1  B
2  0.048  52.44  B2  B
3  0.048  51.16  B3  B
4  0.048  51.78  B4  B
5  0.048  46.49  B5  B
6  0.048  48.84  B6  B
7  0.048  48.82  B7  B
8  0.048  51.21  B8  B
9  0.048  50.06  B9  B
10  0.048  47.61  B10  B
11  0.048  48.71  B11  B
1  0.05  50  B1  B
2  0.05  51.91  B2  B
3  0.05  51.38  B3  B
4  0.05  51.63  B4  B
5  0.05  46.29  B5  B
6  0.05  48.77  B6  B
7  0.05  48.68  B7  B
8  0.05  51.28  B8  B
9  0.05  49.7  B9  B
10  0.05  47.68  B10  B
11  0.05  48.71  B11  B
1  0.052  49.43  B1  B
2  0.052  51.83  B2  B
3  0.052  51.24  B3  B
4  0.052  51.48  B4  B
5  0.052  46.09  B5  B
6  0.052  48.49  B6  B
7  0.052  48.46  B7  B
8  0.052  50.69  B8  B
9  0.052  49.56  B9  B
10  0.052  47.68  B10  B
11  0.052  48.49  B11  B
1  0.054  49.64  B1  B
2  0.054  51.91  B2  B
3  0.054  50.87  B3  B
4  0.054  50.96  B4  B
5  0.054  46.36  B5  B
6  0.054  48.63  B6  B
7  0.054  48.11  B7  B
8  0.054  50.61  B8  B
9  0.054  49.41  B9  B
10  0.054  47.2  B10  B
11  0.054  48.92  B11  B
1  0.056  49.14  B1  B
2  0.056  51.38  B2  B
3  0.056  50.72  B3  B
4  0.056  51.11  B4  B
5  0.056  45.75  B5  B
6  0.056  48.21  B6  B
7  0.056  47.77  B7  B
8  0.056  50.69  B8  B
9  0.056  48.77  B9  B
10  0.056  47.54  B10  B
11  0.056  47.59  B11  B
1  0.058  49.07  B1  B
2  0.058  51.31  B2  B
3  0.058  50.87  B3  B
4  0.058  50.96  B4  B
5  0.058  46.15  B5  B
6  0.058  48  B6  B
7  0.058  47.84  B7  B
8  0.058  50.46  B8  B
9  0.058  49.05  B9  B
10  0.058  47.2  B10  B
11  0.058  48.28  B11  B
1  0.06  49.21  B1  B
2  0.06  51.01  B2  B
3  0.06  50.14  B3  B
4  0.06  50.81  B4  B
5  0.06  45.88  B5  B
6  0.06  47.86  B6  B
7  0.06  47.91  B7  B
8  0.06  50.39  B8  B
9  0.06  48.91  B9  B
10  0.06  47.34  B10  B
11  0.06  48.07  B11  B
1  0.062  48.86  B1  B
2  0.062  50.94  B2  B
3  0.062  50.57  B3  B
4  0.062  50.59  B4  B
5  0.062  45.82  B5  B
6  0.062  48.07  B6  B
7  0.062  47.97  B7  B
8  0.062  50.39  B8  B
9  0.062  49.13  B9  B
10  0.062  46.86  B10  B
11  0.062  48  B11  B
1  0.064  48.72  B1  B
2  0.064  50.72  B2  B
3  0.064  50.06  B3  B
4  0.064  50.59  B4  B
5  0.064  45.68  B5  B
6  0.064  48  B6  B
7  0.064  47.84  B7  B
8  0.064  49.95  B8  B
9  0.064  48.7  B9  B
10  0.064  47.13  B10  B
11  0.064  47.86  B11  B
1  0.066  48.58  B1  B
2  0.066  50.57  B2  B
3  0.066  49.78  B3  B
4  0.066  50.22  B4  B
5  0.066  45.68  B5  B
6  0.066  47.86  B6  B
7  0.066  47.7  B7  B
8  0.066  49.88  B8  B
9  0.066  48.7  B9  B
10  0.066  46.86  B10  B
11  0.066  47.79  B11  B
1  0.068  48.23  B1  B
2  0.068  50.35  B2  B
3  0.068  49.63  B3  B
4  0.068  50.3  B4  B
5  0.068  45.62  B5  B
6  0.068  47.66  B6  B
7  0.068  47.42  B7  B
8  0.068  50.1  B8  B
9  0.068  48.21  B9  B
10  0.068  46.72  B10  B
11  0.068  47.45  B11  B
1  0.07  48.16  B1  B
2  0.07  50.28  B2  B
3  0.07  49.92  B3  B
4  0.07  50.15  B4  B
5  0.07  45.22  B5  B
6  0.07  47.59  B6  B
7  0.07  47.63  B7  B
8  0.07  49.66  B8  B
9  0.07  48.21  B9  B
10  0.07  46.59  B10  B
11  0.07  47.24  B11  B
1  0.072  48.02  B1  B
2  0.072  50.13  B2  B
3  0.072  49.2  B3  B
4  0.072  49.29  B4  B
5  0.072  45.55  B5  B
6  0.072  47.59  B6  B
7  0.072  47.35  B7  B
8  0.072  49.66  B8  B
9  0.072  48.56  B9  B
10  0.072  46.59  B10  B
11  0.072  47.17  B11  B
1  0.074  47.41  B1  B
2  0.074  49.99  B2  B
3  0.074  49.42  B3  B
4  0.074  50.08  B4  B
5  0.074  45.22  B5  B
6  0.074  47.04  B6  B
7  0.074  47.15  B7  B
8  0.074  49.74  B8  B
9  0.074  48.21  B9  B
10  0.074  46.05  B10  B
11  0.074  47.04  B11  B
1  0.076  47.68  B1  B
2  0.076  50.06  B2  B
3  0.076  49.56  B3  B
4  0.076  50.01  B4  B
5  0.076  45.22  B5  B
6  0.076  47.18  B6  B
7  0.076  46.74  B7  B
8  0.076  49.66  B8  B
9  0.076  48.14  B9  B
10  0.076  46.19  B10  B
11  0.076  46.77  B11  B
1  0.078  47.61  B1  B
2  0.078  49.99  B2  B
3  0.078  49.35  B3  B
4  0.078  49.65  B4  B
5  0.078  45.35  B5  B
6  0.078  46.91  B6  B
7  0.078  46.67  B7  B
8  0.078  49.66  B8  B
9  0.078  48  B9  B
10  0.078  45.99  B10  B
11  0.078  47.24  B11  B
1  0.08  47.07  B1  B
2  0.08  49.91  B2  B
3  0.08  49.06  B3  B
4  0.08  49.36  B4  B
5  0.08  45.35  B5  B
6  0.08  46.64  B6  B
7  0.08  46.81  B7  B
8  0.08  49.52  B8  B
9  0.08  48  B9  B
10  0.08  46.52  B10  B
11  0.08  47.11  B11  B
1  0.082  46.6  B1  B
2  0.082  49.91  B2  B
3  0.082  48.85  B3  B
4  0.082  49.65  B4  B
5  0.082  44.89  B5  B
6  0.082  46.91  B6  B
7  0.082  46.74  B7  B
8  0.082  49.3  B8  B
9  0.082  48.14  B9  B
10  0.082  46.32  B10  B
11  0.082  46.97  B11  B
1  0.084  46.73  B1  B
2  0.084  49.55  B2  B
3  0.084  48.92  B3  B
4  0.084  49.29  B4  B
5  0.084  44.82  B5  B
6  0.084  46.91  B6  B
7  0.084  46.74  B7  B
8  0.084  49.38  B8  B
9  0.084  47.86  B9  B
10  0.084  46.52  B10  B
11  0.084  46.7  B11  B
1  0.086  46.86  B1  B
2  0.086  49.41  B2  B
3  0.086  48.71  B3  B
4  0.086  49.58  B4  B
5  0.086  45.08  B5  B
6  0.086  46.7  B6  B
7  0.086  46.07  B7  B
8  0.086  49.59  B8  B
9  0.086  47.93  B9  B
10  0.086  46.59  B10  B
11  0.086  46.7  B11  B
1  0.088  46.46  B1  B
2  0.088  49.7  B2  B
3  0.088  48.57  B3  B
4  0.088  49.36  B4  B
5  0.088  45.28  B5  B
6  0.088  46.43  B6  B
7  0.088  46.47  B7  B
8  0.088  49.09  B8  B
9  0.088  47.72  B9  B
10  0.088  46.66  B10  B
11  0.088  46.97  B11  B
1  0.09  46.6  B1  B
2  0.09  49.27  B2  B
3  0.09  48.43  B3  B
4  0.09  49.15  B4  B
5  0.09  45.35  B5  B
6  0.09  46.64  B6  B
7  0.09  46.61  B7  B
8  0.09  49.02  B8  B
9  0.09  47.72  B9  B
10  0.09  46.39  B10  B
11  0.09  46.9  B11  B
1  0.092  46.33  B1  B
2  0.092  49.05  B2  B
3  0.092  48.57  B3  B
4  0.092  49.15  B4  B
5  0.092  45.28  B5  B
6  0.092  46.43  B6  B
7  0.092  46  B7  B
8  0.092  48.88  B8  B
9  0.092  47.86  B9  B
10  0.092  46.59  B10  B
11  0.092  46.9  B11  B
1  0.094  46.66  B1  B
2  0.094  49.05  B2  B
3  0.094  48.15  B3  B
4  0.094  48.94  B4  B
5  0.094  45.42  B5  B
6  0.094  46.1  B6  B
7  0.094  46.07  B7  B
8  0.094  48.73  B8  B
9  0.094  47.93  B9  B
10  0.094  46.25  B10  B
11  0.094  46.77  B11  B
1  0.096  46.93  B1  B
2  0.096  48.91  B2  B
3  0.096  48.15  B3  B
4  0.096  48.87  B4  B
5  0.096  44.62  B5  B
6  0.096  45.84  B6  B
7  0.096  46.34  B7  B
8  0.096  48.66  B8  B
9  0.096  47.65  B9  B
10  0.096  46.46  B10  B
11  0.096  46.5  B11  B
1  0.098  46.86  B1  B
2  0.098  48.7  B2  B
3  0.098  48.08  B3  B
4  0.098  48.65  B4  B
5  0.098  44.82  B5  B
6  0.098  46.1  B6  B
7  0.098  46.14  B7  B
8  0.098  48.81  B8  B
9  0.098  48.07  B9  B
10  0.098  46.39  B10  B
11  0.098  46.36  B11  B
1  0.1  46.53  B1  B
2  0.1  49.05  B2  B
3  0.1  48.5  B3  B
4  0.1  48.58  B4  B
5  0.1  44.89  B5  B
6  0.1  45.9  B6  B
7  0.1  46.4  B7  B
8  0.1  48.81  B8  B
9  0.1  47.72  B9  B
10  0.1  46.32  B10  B
11  0.1  46.5  B11  B
1  0.102  46  B1  B
2  0.102  48.63  B2  B
3  0.102  48.43  B3  B
4  0.102  48.65  B4  B
5  0.102  44.89  B5  B
6  0.102  45.84  B6  B
7  0.102  46.27  B7  B
8  0.102  48.95  B8  B
9  0.102  47.38  B9  B
10  0.102  45.79  B10  B
11  0.102  46.77  B11  B
1  0.104  45.8  B1  B
2  0.104  48.35  B2  B
3  0.104  48.15  B3  B
4  0.104  48.72  B4  B
5  0.104  45.15  B5  B
6  0.104  46.03  B6  B
7  0.104  46.27  B7  B
8  0.104  49.16  B8  B
9  0.104  47.38  B9  B
10  0.104  45.46  B10  B
11  0.104  47.24  B11  B
1  0.106  45.54  B1  B
2  0.106  48.56  B2  B
3  0.106  47.88  B3  B
4  0.106  48.31  B4  B
5  0.106  45.15  B5  B
6  0.106  45.7  B6  B
7  0.106  46.2  B7  B
8  0.106  48.66  B8  B
9  0.106  47.17  B9  B
10  0.106  45.07  B10  B
11  0.106  47.24  B11  B
1  0.108  45.21  B1  B
2  0.108  48.42  B2  B
3  0.108  47.67  B3  B
4  0.108  48.03  B4  B
5  0.108  45.28  B5  B
6  0.108  45.84  B6  B
7  0.108  45.74  B7  B
8  0.108  48.52  B8  B
9  0.108  47.38  B9  B
10  0.108  45.13  B10  B
11  0.108  47.38  B11  B
1  0.11  45.15  B1  B
2  0.11  48.14  B2  B
3  0.11  47.4  B3  B
4  0.11  48.03  B4  B
5  0.11  45.08  B5  B
6  0.11  46.03  B6  B
7  0.11  46.27  B7  B
8  0.11  48.24  B8  B
9  0.11  47.24  B9  B
10  0.11  45.13  B10  B
11  0.11  46.97  B11  B
1  0.112  44.76  B1  B
2  0.112  48.14  B2  B
3  0.112  47.47  B3  B
4  0.112  48.03  B4  B
5  0.112  44.49  B5  B
6  0.112  45.84  B6  B
7  0.112  46.14  B7  B
8  0.112  48.17  B8  B
9  0.112  47.24  B9  B
10  0.112  45.07  B10  B
11  0.112  46.23  B11  B
1  0.114  45.02  B1  B
2  0.114  48.07  B2  B
3  0.114  46.92  B3  B
4  0.114  47.96  B4  B
5  0.114  44.36  B5  B
6  0.114  45.51  B6  B
7  0.114  46.2  B7  B
8  0.114  47.76  B8  B
9  0.114  47.17  B9  B
10  0.114  45.13  B10  B
11  0.114  46.16  B11  B
1  0.116  44.89  B1  B
2  0.116  47.94  B2  B
3  0.116  46.39  B3  B
4  0.116  47.89  B4  B
5  0.116  44.11  B5  B
6  0.116  45.64  B6  B
7  0.116  46.14  B7  B
8  0.116  47.41  B8  B
9  0.116  47.04  B9  B
10  0.116  45  B10  B
11  0.116  45.56  B11  B
1  0.118  44.57  B1  B
2  0.118  47.73  B2  B
3  0.118  46.52  B3  B
4  0.118  47.89  B4  B
5  0.118  44.17  B5  B
6  0.118  45.9  B6  B
7  0.118  46.07  B7  B
8  0.118  47.55  B8  B
9  0.118  47.04  B9  B
10  0.118  45  B10  B
11  0.118  46.09  B11  B
1  0.12  44.57  B1  B
2  0.12  48.07  B2  B
3  0.12  46.39  B3  B
4  0.12  47.41  B4  B
5  0.12  43.59  B5  B
6  0.12  45.9  B6  B
7  0.12  45.74  B7  B
8  0.12  47  B8  B
9  0.12  46.76  B9  B
10  0.12  44.81  B10  B
11  0.12  45.56  B11  B
1  0.122  44.38  B1  B
2  0.122  47.59  B2  B
3  0.122  46.39  B3  B
4  0.122  47.68  B4  B
5  0.122  43.78  B5  B
6  0.122  45.97  B6  B
7  0.122  45.54  B7  B
8  0.122  47.07  B8  B
9  0.122  46.56  B9  B
10  0.122  44.81  B10  B
11  0.122  45.63  B11  B
1  0.124  44.19  B1  B
2  0.124  47.66  B2  B
3  0.124  46.26  B3  B
4  0.124  47.75  B4  B
5  0.124  43.78  B5  B
6  0.124  45.9  B6  B
7  0.124  45.61  B7  B
8  0.124  47.14  B8  B
9  0.124  46.29  B9  B
10  0.124  44.68  B10  B
11  0.124  45.56  B11  B
1  0.126  44.32  B1  B
2  0.126  47.46  B2  B
3  0.126  46.39  B3  B
4  0.126  47.62  B4  B
5  0.126  43.4  B5  B
6  0.126  45.77  B6  B
7  0.126  45.28  B7  B
8  0.126  46.93  B8  B
9  0.126  46.36  B9  B
10  0.126  44.94  B10  B
11  0.126  45.63  B11  B
1  0.128  44.13  B1  B
2  0.128  47.25  B2  B
3  0.128  46.39  B3  B
4  0.128  47.41  B4  B
5  0.128  43.21  B5  B
6  0.128  45.84  B6  B
7  0.128  45.61  B7  B
8  0.128  47  B8  B
9  0.128  46.56  B9  B
10  0.128  44.61  B10  B
11  0.128  45.56  B11  B
1  0.13  44.13  B1  B
2  0.13  46.98  B2  B
3  0.13  46.12  B3  B
4  0.13  47.55  B4  B
5  0.13  43.46  B5  B
6  0.13  45.57  B6  B
7  0.13  45.08  B7  B
8  0.13  46.87  B8  B
9  0.13  46.56  B9  B
10  0.13  44.55  B10  B
11  0.13  45.43  B11  B
1  0.132  44.06  B1  B
2  0.132  47.12  B2  B
3  0.132  46.46  B3  B
4  0.132  47.07  B4  B
5  0.132  43.21  B5  B
6  0.132  45.7  B6  B
7  0.132  45.21  B7  B
8  0.132  46.8  B8  B
9  0.132  46.36  B9  B
10  0.132  44.61  B10  B
11  0.132  45.3  B11  B
1  0.134  44  B1  B
2  0.134  47.32  B2  B
3  0.134  46.46  B3  B
4  0.134  47.07  B4  B
5  0.134  43.4  B5  B
6  0.134  46.03  B6  B
7  0.134  44.89  B7  B
8  0.134  46.8  B8  B
9  0.134  46.49  B9  B
10  0.134  44.61  B10  B
11  0.134  45.1  B11  B
1  0.136  43.94  B1  B
2  0.136  46.98  B2  B
3  0.136  46.59  B3  B
4  0.136  47.41  B4  B
5  0.136  43.27  B5  B
6  0.136  46.03  B6  B
7  0.136  45.08  B7  B
8  0.136  46.87  B8  B
9  0.136  46.43  B9  B
10  0.136  44.55  B10  B
11  0.136  44.78  B11  B
1  0.138  44.25  B1  B
2  0.138  46.91  B2  B
3  0.138  46.26  B3  B
4  0.138  47.14  B4  B
5  0.138  43.34  B5  B
6  0.138  45.84  B6  B
7  0.138  44.89  B7  B
8  0.138  46.87  B8  B
9  0.138  46.49  B9  B
10  0.138  44.55  B10  B
11  0.138  44.91  B11  B
1  0.14  43.62  B1  B
2  0.14  47.05  B2  B
3  0.14  46.32  B3  B
4  0.14  46.73  B4  B
5  0.14  43.15  B5  B
6  0.14  46.03  B6  B
7  0.14  44.69  B7  B
8  0.14  46.93  B8  B
9  0.14  46.76  B9  B
10  0.14  44.55  B10  B
11  0.14  45.1  B11  B
1  0.142  43.56  B1  B
2  0.142  46.91  B2  B
3  0.142  46.39  B3  B
4  0.142  46.73  B4  B
5  0.142  43.27  B5  B
6  0.142  46.23  B6  B
7  0.142  44.95  B7  B
8  0.142  46.33  B8  B
9  0.142  46.63  B9  B
10  0.142  44.42  B10  B
11  0.142  44.84  B11  B
1  0.144  43.69  B1  B
2  0.144  46.78  B2  B
3  0.144  46.06  B3  B
4  0.144  46.8  B4  B
5  0.144  42.83  B5  B
6  0.144  46.23  B6  B
7  0.144  44.69  B7  B
8  0.144  46.26  B8  B
9  0.144  46.63  B9  B
10  0.144  44.68  B10  B
11  0.144  45.04  B11  B
1  0.146  44  B1  B
2  0.146  47.05  B2  B
3  0.146  45.73  B3  B
4  0.146  46.73  B4  B
5  0.146  42.83  B5  B
6  0.146  46.5  B6  B
7  0.146  45.02  B7  B
8  0.146  46.33  B8  B
9  0.146  46.49  B9  B
10  0.146  44.87  B10  B
11  0.146  44.84  B11  B
1  0.148  43.81  B1  B
2  0.148  46.91  B2  B
3  0.148  45.66  B3  B
4  0.148  46.67  B4  B
5  0.148  43.21  B5  B
6  0.148  46.43  B6  B
7  0.148  44.76  B7  B
8  0.148  46.6  B8  B
9  0.148  46.63  B9  B
10  0.148  44.81  B10  B
11  0.148  44.84  B11  B
1  0.15  43.56  B1  B
2  0.15  46.98  B2  B
3  0.15  45.6  B3  B
4  0.15  46.6  B4  B
5  0.15  43.59  B5  B
6  0.15  47.38  B6  B
7  0.15  44.95  B7  B
8  0.15  46.26  B8  B
9  0.15  46.29  B9  B
10  0.15  44.81  B10  B
11  0.15  45.1  B11  B
1  0.152  43.69  B1  B
2  0.152  47.46  B2  B
3  0.152  45.66  B3  B
4  0.152  46.87  B4  B
5  0.152  43.21  B5  B
6  0.152  47.18  B6  B
7  0.152  44.69  B7  B
8  0.152  46.19  B8  B
9  0.152  46.56  B9  B
10  0.152  44.74  B10  B
11  0.152  44.78  B11  B
1  0.154  43.44  B1  B
2  0.154  47.25  B2  B
3  0.154  45.66  B3  B
4  0.154  46.8  B4  B
5  0.154  42.9  B5  B
6  0.154  47.59  B6  B
7  0.154  44.37  B7  B
8  0.154  46.26  B8  B
9  0.154  46.63  B9  B
10  0.154  44.68  B10  B
11  0.154  44.84  B11  B
1  0.156  43.25  B1  B
2  0.156  47.46  B2  B
3  0.156  45.6  B3  B
4  0.156  46.8  B4  B
5  0.156  42.96  B5  B
6  0.156  47.25  B6  B
7  0.156  44.44  B7  B
8  0.156  46.46  B8  B
9  0.156  46.36  B9  B
10  0.156  44.55  B10  B
11  0.156  44.71  B11  B
1  0.158  43.5  B1  B
2  0.158  47.12  B2  B
3  0.158  45.53  B3  B
4  0.158  46.47  B4  B
5  0.158  43.02  B5  B
6  0.158  46.77  B6  B
7  0.158  44.69  B7  B
8  0.158  46.13  B8  B
9  0.158  46.29  B9  B
10  0.158  44.42  B10  B
11  0.158  44.39  B11  B
1  0.16  42.88  B1  B
2  0.16  47.05  B2  B
3  0.16  45.66  B3  B
4  0.16  46.4  B4  B
5  0.16  42.83  B5  B
6  0.16  46.37  B6  B
7  0.16  44.12  B7  B
8  0.16  46.46  B8  B
9  0.16  46.43  B9  B
10  0.16  44.23  B10  B
11  0.16  44.52  B11  B
1  0.162  43.31  B1  B
2  0.162  46.51  B2  B
3  0.162  45.86  B3  B
4  0.162  46.07  B4  B
5  0.162  43.21  B5  B
6  0.162  46.1  B6  B
7  0.162  44.56  B7  B
8  0.162  46.06  B8  B
9  0.162  46.43  B9  B
10  0.162  44.36  B10  B
11  0.162  44.33  B11  B
1  0.164  43.25  B1  B
2  0.164  46.24  B2  B
